"block";"choice_situation";"lang";"alternative";"ca_available";"ca_fix_cost";"ca_fuel";"ca_reach";"ca_type";"ca_variable_cost";"cs_available";"cs_distance";"cs_km_tariff";"cs_membership_fee";"cs_time_tariff";"eb_available";"eb_cost";"eb_type";"pt_available";"pt_class";"pt_commute";"pt_fix_cost";"pt_type";"pt_variable_cost";"pt_zones"
1;1;"DE";"a";0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;1;"35 CHF/Monat";"Bis zu 25 km/h";1;"Zweite";"Inklusive";"46 CHF/Monat";"Modul-Abo (Verbund)";NA;"1-2 Zonen"
1;1;"DE";"b";1;"492 CHF/Monat";"Diesel";NA;"SUV";"1.28 CHF/km";1;"1 km oder weniger";"0.8 CHF/km";"12 CHF/Monat";"4 CHF/h";0;NA;NA;1;"Zweite";"Inklusive";"84 CHF/Monat";"Modul-Abo (Verbund)";NA;"1-2 Zonen"
1;2;"DE";"a";1;"317 CHF/Monat";"Diesel";NA;"Kleinwagen";"0.82 CHF/km";0;NA;NA;NA;NA;1;"35 CHF/Monat";"Bis zu 25 km/h";0;NA;NA;NA;NA;NA;NA
1;2;"DE";"b";0;NA;NA;NA;NA;NA;1;"Mehr als 1 km";"0.8 CHF/km";"12 CHF/Monat";"2 CHF/h";1;"35 CHF/Monat";"Bis zu 25 km/h";1;"Zweite";NA;"130 CHF/Monat";"Modul-Abo (Verbund)";NA;"Ganzer Tarifverbund"
1;3;"DE";"a";1;"914 CHF/Monat";"Diesel";NA;"SUV";"1.28 CHF/km";1;"1 km oder weniger";"1.2 CHF/km";"8 CHF/Monat";"2 CHF/h";0;NA;NA;1;"Erste";NA;"84 CHF/Monat";"Modul-Abo (Verbund)";NA;"1-2 Zonen"
1;3;"DE";"b";1;"704 CHF/Monat";"Diesel";NA;"Luxusauto oder Sportcoupé";"1.78 CHF/km";1;"1 km oder weniger";"0.8 CHF/km";"12 CHF/Monat";"2 CHF/h";1;"35 CHF/Monat";"Bis zu 25 km/h";0;NA;NA;NA;NA;NA;NA
1;4;"DE";"a";0;NA;NA;NA;NA;NA;1;"Mehr als 1 km";"1.2 CHF/km";"12 CHF/Monat";"4 CHF/h";1;"104 CHF/Monat";"Bis zu 45 km/h";0;NA;NA;NA;NA;NA;NA
1;4;"DE";"b";1;"488 CHF/Monat";"Diesel";NA;"Mittelgross bis grosses Auto";"0.67 CHF/km";1;"Mehr als 1 km";"0.8 CHF/km";"8 CHF/Monat";"4 CHF/h";0;NA;NA;1;"Erste";NA;"240 CHF/Monat";"Modul-Abo (Verbund)";NA;"Ganzer Tarifverbund"
1;5;"DE";"a";0;NA;NA;NA;NA;NA;1;"1 km oder weniger";"1.2 CHF/km";"8 CHF/Monat";"4 CHF/h";1;"104 CHF/Monat";"Bis zu 45 km/h";1;"Zweite";NA;"210 CHF/Monat";"GA";NA;NA
1;5;"DE";"b";1;"799 CHF/Monat";"Hybrid";NA;"Luxusauto oder Sportcoupé";"1.09 CHF/km";1;"1 km oder weniger";"1.2 CHF/km";"8 CHF/Monat";"2 CHF/h";0;NA;NA;1;NA;NA;NA;"Halbtax";"0.65 CHF/km";NA
1;6;"DE";"a";1;"482 CHF/Monat";"Plug-in Hybrid";NA;"Minivan oder Kastenwagen";"1.11 CHF/km";1;"Mehr als 1 km";"1.2 CHF/km";"8 CHF/Monat";"2 CHF/h";1;"56 CHF/Monat";"Bis zu 45 km/h";1;NA;NA;NA;"Halbtax";"0.65 CHF/km";NA
1;6;"DE";"b";1;"704 CHF/Monat";"Diesel";NA;"Luxusauto oder Sportcoupé";"1.78 CHF/km";0;NA;NA;NA;NA;0;NA;NA;1;NA;NA;NA;"Halbtax";"0.35 CHF/km";NA
1;7;"DE";"a";1;"488 CHF/Monat";"Diesel";NA;"Mittelgross bis grosses Auto";"0.67 CHF/km";1;"1 km oder weniger";"1.2 CHF/km";"12 CHF/Monat";"4 CHF/h";1;"35 CHF/Monat";"Bis zu 25 km/h";1;"Zweite";"Inklusive";"46 CHF/Monat";"Modul-Abo (Verbund)";NA;"1-2 Zonen"
1;7;"DE";"b";1;"799 CHF/Monat";"Hybrid";NA;"Luxusauto oder Sportcoupé";"2.02 CHF/km";0;NA;NA;NA;NA;1;"35 CHF/Monat";"Bis zu 25 km/h";0;NA;NA;NA;NA;NA;NA
1;8;"DE";"a";1;"906 CHF/Monat";"Diesel";NA;"Mittelgross bis grosses Auto";"0.67 CHF/km";1;"1 km oder weniger";"0.8 CHF/km";"12 CHF/Monat";"2 CHF/h";0;NA;NA;1;"Erste";NA;"210 CHF/Monat";"GA";NA;NA
1;8;"DE";"b";0;NA;NA;NA;NA;NA;1;"Mehr als 1 km";"0.8 CHF/km";"8 CHF/Monat";"2 CHF/h";1;"35 CHF/Monat";"Bis zu 25 km/h";1;"Zweite";"Inklusive";"240 CHF/Monat";"Modul-Abo (Verbund)";NA;"Ganzer Tarifverbund"
1;1;"EN";"a";0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;1;"35 CHF/month";"Up to 25 km/h";1;"Second";"Included";"46 CHF/month";"Modular Travelcard (fare networks)";NA;"1-2 zones"
1;1;"EN";"b";1;"492 CHF/month";"Diesel";NA;"SUV";"1.28 CHF/km";1;"1 km or less";"0.8 CHF/km";"12 CHF/month";"4 CHF/h";0;NA;NA;1;"Second";"Included";"84 CHF/month";"Modular Travelcard (fare networks)";NA;"1-2 zones"
1;2;"EN";"a";1;"317 CHF/month";"Diesel";NA;"Small car";"0.82 CHF/km";0;NA;NA;NA;NA;1;"35 CHF/month";"Up to 25 km/h";0;NA;NA;NA;NA;NA;NA
1;2;"EN";"b";0;NA;NA;NA;NA;NA;1;"More than 1 km";"0.8 CHF/km";"12 CHF/month";"2 CHF/h";1;"35 CHF/month";"Up to 25 km/h";1;"Second";NA;"130 CHF/month";"Modular Travelcard (fare networks)";NA;"Whole fare network"
1;3;"EN";"a";1;"914 CHF/month";"Diesel";NA;"SUV";"1.28 CHF/km";1;"1 km or less";"1.2 CHF/km";"8 CHF/month";"2 CHF/h";0;NA;NA;1;"First";NA;"84 CHF/month";"Modular Travelcard (fare networks)";NA;"1-2 zones"
1;3;"EN";"b";1;"704 CHF/month";"Diesel";NA;"Luxury car or sports coupé";"1.78 CHF/km";1;"1 km or less";"0.8 CHF/km";"12 CHF/month";"2 CHF/h";1;"35 CHF/month";"Up to 25 km/h";0;NA;NA;NA;NA;NA;NA
1;4;"EN";"a";0;NA;NA;NA;NA;NA;1;"More than 1 km";"1.2 CHF/km";"12 CHF/month";"4 CHF/h";1;"104 CHF/month";"Up to 45 km/h";0;NA;NA;NA;NA;NA;NA
1;4;"EN";"b";1;"488 CHF/month";"Diesel";NA;"Medium to large car";"0.67 CHF/km";1;"More than 1 km";"0.8 CHF/km";"8 CHF/month";"4 CHF/h";0;NA;NA;1;"First";NA;"240 CHF/month";"Modular Travelcard (fare networks)";NA;"Whole fare network"
1;5;"EN";"a";0;NA;NA;NA;NA;NA;1;"1 km or less";"1.2 CHF/km";"8 CHF/month";"4 CHF/h";1;"104 CHF/month";"Up to 45 km/h";1;"Second";NA;"210 CHF/month";"GA";NA;NA
1;5;"EN";"b";1;"799 CHF/month";"Hybrid";NA;"Luxury car or sports coupé";"1.09 CHF/km";1;"1 km or less";"1.2 CHF/km";"8 CHF/month";"2 CHF/h";0;NA;NA;1;NA;NA;NA;"Half Fare";"0.65 CHF/km";NA
1;6;"EN";"a";1;"482 CHF/month";"Plug-in hybrid";NA;"Minivan or van";"1.11 CHF/km";1;"More than 1 km";"1.2 CHF/km";"8 CHF/month";"2 CHF/h";1;"56 CHF/month";"Up to 45 km/h";1;NA;NA;NA;"Half Fare";"0.65 CHF/km";NA
1;6;"EN";"b";1;"704 CHF/month";"Diesel";NA;"Luxury car or sports coupé";"1.78 CHF/km";0;NA;NA;NA;NA;0;NA;NA;1;NA;NA;NA;"Half Fare";"0.35 CHF/km";NA
1;7;"EN";"a";1;"488 CHF/month";"Diesel";NA;"Medium to large car";"0.67 CHF/km";1;"1 km or less";"1.2 CHF/km";"12 CHF/month";"4 CHF/h";1;"35 CHF/month";"Up to 25 km/h";1;"Second";"Included";"46 CHF/month";"Modular Travelcard (fare networks)";NA;"1-2 zones"
1;7;"EN";"b";1;"799 CHF/month";"Hybrid";NA;"Luxury car or sports coupé";"2.02 CHF/km";0;NA;NA;NA;NA;1;"35 CHF/month";"Up to 25 km/h";0;NA;NA;NA;NA;NA;NA
1;8;"EN";"a";1;"906 CHF/month";"Diesel";NA;"Medium to large car";"0.67 CHF/km";1;"1 km or less";"0.8 CHF/km";"12 CHF/month";"2 CHF/h";0;NA;NA;1;"First";NA;"210 CHF/month";"GA";NA;NA
1;8;"EN";"b";0;NA;NA;NA;NA;NA;1;"More than 1 km";"0.8 CHF/km";"8 CHF/month";"2 CHF/h";1;"35 CHF/month";"Up to 25 km/h";1;"Second";"Included";"240 CHF/month";"Modular Travelcard (fare networks)";NA;"Whole fare network"
